ID_0,ID_1,ISO,NAME
1,1,AFG,Badakhshan,
1,2,AFG,Badghis,
1,3,AFG,Baghlan,
1,4,AFG,Balkh,
1,5,AFG,Bamyan,
1,6,AFG,Farah,
1,7,AFG,Faryab,
1,8,AFG,Ghazni,
1,9,AFG,Ghor,
1,10,AFG,Hilmand,
1,11,AFG,Hirat,
1,12,AFG,Jawzjan,
1,13,AFG,Kabul,
1,14,AFG,Kandahar,
1,15,AFG,Kapisa,
1,16,AFG,Khost,
1,17,AFG,Kunar,
1,18,AFG,Kunduz,
1,19,AFG,Laghman,
1,20,AFG,Logar,
1,21,AFG,Nangarhar,
1,22,AFG,Nimroz,
1,23,AFG,Nuristan,
1,24,AFG,Paktika,
1,25,AFG,Paktya,
1,26,AFG,Parwan,
1,27,AFG,Samangan,
1,28,AFG,Sari Pul,
1,29,AFG,Takhar,
1,30,AFG,Uruzgan,
1,31,AFG,Wardak,
1,32,AFG,Zabul,
3,2,ALB,Dibër,
3,3,ALB,Durrës,
3,4,ALB,Elbasan,
3,5,ALB,Fier,
3,6,ALB,Gjirokastër,
3,7,ALB,Korçë,
3,8,ALB,Kukës,
3,9,ALB,Lezhë,
3,10,ALB,Shkodër,
3,11,ALB,Tiranë,
3,12,ALB,Vlorë,
4,1,DZA,Adrar,
4,2,DZA,Aïn Defla,
4,3,DZA,Aïn Témouchent,
4,4,DZA,Alger,
4,5,DZA,Annaba,
4,6,DZA,Batna,
4,7,DZA,Béchar,
4,8,DZA,Béjaïa,
4,9,DZA,Biskra,
4,10,DZA,Blida,
4,11,DZA,Bordj Bou Arréridj,
4,12,DZA,Bouira,
4,13,DZA,Boumerdès,
4,14,DZA,Chlef,
4,15,DZA,Constantine,
4,16,DZA,Djelfa,
4,17,DZA,El Bayadh,
4,18,DZA,El Oued,
4,19,DZA,El Tarf,
4,20,DZA,Ghardaïa,
4,21,DZA,Guelma,
4,22,DZA,Illizi,
4,23,DZA,Jijel,
4,24,DZA,Khenchela,
4,25,DZA,Laghouat,
4,26,DZA,M'Sila,
4,27,DZA,Mascara,
4,28,DZA,Médéa,
4,29,DZA,Mila,
4,30,DZA,Mostaganem,
4,31,DZA,Naâma,
4,32,DZA,Oran,
4,33,DZA,Ouargla,
4,34,DZA,Oum el Bouaghi,
4,35,DZA,Relizane,
4,36,DZA,Saïda,
4,37,DZA,Sétif,
4,38,DZA,Sidi Bel Abbès,
4,39,DZA,Skikda,
4,40,DZA,Souk Ahras,
4,41,DZA,Tamanghasset,
4,42,DZA,Tébessa,
4,43,DZA,Tiaret,
4,44,DZA,Tindouf,
4,45,DZA,Tipaza,
4,46,DZA,Tissemsilt,
4,47,DZA,Tizi Ouzou,
4,48,DZA,Tlemcen,
5,2,ASM,Manu'a,
5,4,ASM,Western,
7,1,AGO,Bengo,
7,2,AGO,Benguela,
7,3,AGO,Bié,
7,4,AGO,Cabinda,
7,5,AGO,Cuando Cubango,
7,6,AGO,Cuanza Norte,
7,7,AGO,Cuanza Sul,
7,8,AGO,Cunene,
7,9,AGO,Huambo,
7,10,AGO,Huíla,
7,11,AGO,Luanda,
7,12,AGO,Lunda Norte,
7,13,AGO,Lunda Sul,
7,14,AGO,Malanje,
7,15,AGO,Moxico,
7,16,AGO,Namibe,
7,17,AGO,Uíge,
7,18,AGO,Zaire,
10,1,ATG,Barbuda,
