ID_0,NAME,ISO
1,Afghanistan,AFG,
3,Albania,ALB,
4,Algeria,DZA,
5,American Samoa,ASM,
7,Angola,AGO,
10,Antigua and Barbuda,ATG,
11,Argentina,ARG,
12,Armenia,ARM,
13,Aruba,ABW,
14,Australia,AUS,
15,Austria,AUT,
16,Azerbaijan,AZE,
17,Bahamas,BHS,
18,Bahrain,BHR,
19,Bangladesh,BGD,
20,Barbados,BRB,
21,Belarus,BLR,
22,Belgium,BEL,
23,Belize,BLZ,
24,Benin,BEN,
25,Bermuda,BMU,
26,Bhutan,BTN,
27,Bolivia,BOL,
28,"Bonaire, Saint Eustatius and Saba",BES,
29,Bosnia and Herzegovina,BIH,
30,Botswana,BWA,
31,Bouvet Island,BVT,
32,Brazil,BRA,
33,British Indian Ocean Territory,IOT,
34,British Virgin Islands,VGB,
35,Brunei,BRN,
36,Bulgaria,BGR,
37,Burkina Faso,BFA,
38,Burundi,BDI,
39,Cambodia,KHM,
40,Cameroon,CMR,
41,Canada,CAN,
42,Cape Verde,CPV,
43,Caspian Sea,CA-,
44,Cayman Islands,CYM,
45,Central African Republic,CAF,
46,Chad,TCD,
47,Chile,CHL,
48,China,CHN,
49,Christmas Island,CXR,
51,Cocos Islands,CCK,
52,Colombia,COL,
53,Comoros,COM,
54,Cook Islands,COK,
55,Costa Rica,CRI,
56,Côte d'Ivoire,CIV,
57,Croatia,HRV,
58,Cuba,CUB,
59,Curaçao,CUW,
60,Cyprus,CYP,
61,Czech Republic,CZE,
62,Democratic Republic of the Congo,COD,
63,Denmark,DNK,
64,Djibouti,DJI,
65,Dominica,DMA,
66,Dominican Republic,DOM,
67,East Timor,TLS,
68,Ecuador,ECU,
69,Egypt,EGY,
70,El Salvador,SLV,
71,Equatorial Guinea,GNQ,
72,Eritrea,ERI,
73,Estonia,EST,
74,Ethiopia,ETH,
75,Falkland Islands,FLK,
76,Faroe Islands,FRO,
77,Fiji,FJI,
78,Finland,FIN,
79,France,FRA,
80,French Guiana,GUF,
81,French Polynesia,PYF,
82,French Southern Territories,ATF,
83,Gabon,GAB,
84,Gambia,GMB,
85,Georgia,GEO,
86,Germany,DEU,
87,Ghana,GHA,
89,Greece,GRC,
91,Grenada,GRD,
92,Guadeloupe,GLP,
93,Guam,GUM,
94,Guatemala,GTM,
95,Guernsey,GGY,
96,Guinea,GIN,
97,Guinea-Bissau,GNB,
98,Guyana,GUY,
99,Haiti,HTI,
100,Heard Island and McDonald Islands,HMD,
101,Honduras,HND,
102,Hong Kong,HKG,
103,Hungary,HUN,
104,Iceland,ISL,
105,India,IND,
106,Indonesia,IDN,
107,Iran,IRN,
108,Iraq,IRQ,
109,Ireland,IRL,
110,Isle of Man,IMN,
111,Israel,ISR,
112,Italy,ITA,
113,Jamaica,JAM,
114,Japan,JPN,
115,Jersey,JEY,
116,Jordan,JOR,
117,Kazakhstan,KAZ,
118,Kenya,KEN,
119,Kiribati,KIR,
120,Kosovo,KO-,
121,Kuwait,KWT,
122,Kyrgyzstan,KGZ,
123,Laos,LAO,
124,Latvia,LVA,
125,Lebanon,LBN,
126,Lesotho,LSO,
127,Liberia,LBR,
128,Libya,LBY,
130,Lithuania,LTU,
131,Luxembourg,LUX,
133,Macedonia,MKD,
134,Madagascar,MDG,
135,Malawi,MWI,
136,Malaysia,MYS,
137,Maldives,MDV,
138,Mali,MLI,
139,Malta,MLT,
140,Marshall Islands,MHL,
141,Martinique,MTQ,
142,Mauritania,MRT,
143,Mauritius,MUS,
144,Mayotte,MYT,
145,Mexico,MEX,
146,Micronesia,FSM,
147,Moldova,MDA,
149,Mongolia,MNG,
150,Montenegro,MNE,
151,Montserrat,MSR,
152,Morocco,MAR,
153,Mozambique,MOZ,
154,Myanmar,MMR,
155,Namibia,NAM,
156,Nauru,NRU,
157,Nepal,NPL,
158,Netherlands,NLD,
159,New Caledonia,NCL,
160,New Zealand,NZL,
161,Nicaragua,NIC,
162,Niger,NER,
163,Nigeria,NGA,
164,Niue,NIU,
165,Norfolk Island,NFK,
166,North Korea,PRK,
167,Northern Mariana Islands,MNP,
168,Norway,NOR,
169,Oman,OMN,
170,Pakistan,PAK,
171,Palau,PLW,
172,Palestina,PSE,
173,Panama,PAN,
174,Papua New Guinea,PNG,
175,Paraguay,PRY,
176,Peru,PER,
177,Philippines,PHL,
178,Pitcairn Islands,PCN,
179,Poland,POL,
180,Portugal,PRT,
181,Puerto Rico,PRI,
182,Qatar,QAT,
183,Republic of Congo,COG,
184,Reunion,REU,
185,Romania,ROU,
186,Russia,RUS,
187,Rwanda,RWA,
188,Saint Helena,SHN,
189,Saint Kitts and Nevis,KNA,
190,Saint Lucia,LCA,
191,Saint Pierre and Miquelon,SPM,
192,Saint Vincent and the Grenadines,VCT,
194,Saint-Martin,MAF,
195,Samoa,WSM,
197,Sao Tome and Principe,STP,
198,Saudi Arabia,SAU,
199,Senegal,SEN,
200,Serbia,SRB,
201,Seychelles,SYC,
202,Sierra Leone,SLE,
203,Singapore,SGP,
205,Slovakia,SVK,
206,Slovenia,SVN,
207,Solomon Islands,SLB,
208,Somalia,SOM,
209,South Africa,ZAF,
210,South Georgia and the South Sandwich Islands,SGS,
211,South Korea,KOR,
212,South Sudan,SSD,
213,Spain,ESP,
215,Sri Lanka,LKA,
216,Sudan,SDN,
217,Suriname,SUR,
218,Svalbard and Jan Mayen,SJM,
219,Swaziland,SWZ,
220,Sweden,SWE,
221,Switzerland,CHE,
222,Syria,SYR,
223,Taiwan,TWN,
224,Tajikistan,TJK,
225,Tanzania,TZA,
226,Thailand,THA,
227,Togo,TGO,
229,Tonga,TON,
230,Trinidad and Tobago,TTO,
231,Tunisia,TUN,
232,Turkey,TUR,
233,Turkmenistan,TKM,
234,Turks and Caicos Islands,TCA,
235,Tuvalu,TUV,
236,Uganda,UGA,
237,Ukraine,UKR,
238,United Arab Emirates,ARE,
239,United Kingdom,GBR,
240,United States,USA,
241,United States Minor Outlying Islands,UMI,
242,Uruguay,URY,
243,Uzbekistan,UZB,
244,Vanuatu,VUT,
246,Venezuela,VEN,
247,Vietnam,VNM,
248,"Virgin Islands, U.S.",VIR,
249,Wallis and Futuna,WLF,
250,Western Sahara,ESH,
251,Yemen,YEM,
252,Zambia,ZMB,
253,Zimbabwe,ZWE
